"Gene Symbol"	"Gene Name"
	"Transcribed locus"
	
	"Transcribed locus"
"RNF187"	"Ring finger protein 187"
"ESCO2"	"Establishment of cohesion 1 homolog 2 (S. cerevisiae)"
	"Transcribed locus"
"RAB7B"	"RAB7B, member RAS oncogene family"
"ATP6V1G1"	"**ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1"
	"Transcribed locus"
	"Transcribed locus"
	
	"Transcribed locus"
	
	
"MAP3K7IP3"	"Mitogen-activated protein kinase kinase kinase 7 interacting protein 3"
	"Transcribed locus"
	"CDNA FLJ42134 fis, clone TESTI2035124"
	"CDNA FLJ42134 fis, clone TESTI2035124"
"FYB"	"FYN binding protein (FYB-120/130)"
"HLA-DQB1"	"Major histocompatibility complex, class II, DQ beta 1"
"DOCK9"	"Dedicator of cytokinesis 9"
"AHSA2"	"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
"AHSA2"	"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)"
"IGL@"	"Immunoglobulin lambda locus"
	"**Transcribed locus, moderately similar to XP_001060577.1 similar to ribosomal protein S27a [Rattus norvegicus]"
	"Transcribed locus"
"RAB40B"	"RAB40B, member RAS oncogene family"
	"Transcribed locus"
	"Transcribed locus"
	
"CYP4Z1"	"Cytochrome P450, family 4, subfamily Z, polypeptide 1"
"OSTM1"	"Osteopetrosis associated transmembrane protein 1"
	"Transcribed locus"
"CDKL3"	"Cyclin-dependent kinase-like 3"
	
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	
	"Transcribed locus"
	"Transcribed locus"
	
	"Transcribed locus"
	
"KLK3"	"Kallikrein-related peptidase 3"
"HRAS"	"V-Ha-ras Harvey rat sarcoma viral oncogene homolog"
"HRAS"	"V-Ha-ras Harvey rat sarcoma viral oncogene homolog"
	
"SRD5A2"	"Steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)"
"GLI1"	"Glioma-associated oncogene homolog 1 (zinc finger protein)"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
"SNAPC3"	"**Small nuclear RNA activating complex, polypeptide 3, 50kDa"
"CCL2"	"Chemokine (C-C motif) ligand 2"
"SRP19"	"Signal recognition particle 19kDa"
"SELL"	"Selectin L (lymphocyte adhesion molecule 1)"
"SGCD"	"Sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)"
"SOX9"	"SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)"
"RAB1A"	"**RAB1A, member RAS oncogene family"
"RAD52"	"RAD52 homolog (S. cerevisiae)"
"MAP3K8"	"Mitogen-activated protein kinase kinase kinase 8"
"PTK7"	"**PTK7 protein tyrosine kinase 7"
"PTPRC"	"Protein tyrosine phosphatase, receptor type, C"
"PTPN9"	"Protein tyrosine phosphatase, non-receptor type 9"
"PDGFRL"	"Platelet-derived growth factor receptor-like"
"RUNX1T1"	"Runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"
"ADAM11"	"ADAM metallopeptidase domain 11"
"LRP1"	"Low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)"
"PTPRN2"	"Protein tyrosine phosphatase, receptor type, N polypeptide 2"
"CTNND1"	"Catenin (cadherin-associated protein), delta 1"
"SLC9A6"	"Solute carrier family 9 (sodium/hydrogen exchanger), member 6"
"RNF10"	"Ring finger protein 10"
"TOPBP1"	"Topoisomerase (DNA) II binding protein 1"
"NCSTN"	"Nicastrin"
"LPIN2"	"Lipin 2"
"PHF3"	"PHD finger protein 3"
"ITGBL1"	"Integrin, beta-like 1 (with EGF-like repeat domains)"
"LTBP4"	"Latent transforming growth factor beta binding protein 4"
"LGALS9"	"Lectin, galactoside-binding, soluble, 9 (galectin 9)"
"AURKA"	"Aurora kinase A"
"INADL"	"InaD-like (Drosophila)"
"PSPHL"	"Phosphoserine phosphatase-like"
"FAM13A1"	"Family with sequence similarity 13, member A1"
"GFRA2"	"GDNF family receptor alpha 2"
"SMAD5"	"SMAD family member 5"
	"**Transcribed locus, strongly similar to XP_001058777.1 similar to transcription elongation factor B (SIII), polypeptide 1 [Rattus norvegicus]"
"NFE2"	"Nuclear factor (erythroid-derived 2), 45kDa"
"ASCIZ"	"ATM/ATR-Substrate Chk2-Interacting Zn2+-finger protein"
"CFHR4"	"Complement factor H-related 4"
"HLA-DMA"	"Major histocompatibility complex, class II, DM alpha"
"TMEM126A"	"Transmembrane protein 126A"
"CD9"	"CD9 molecule"
"CD59"	"**CD59 molecule, complement regulatory protein"
"CD47"	"CD47 molecule"
"APOC2"	"Apolipoprotein C-II"
"SHROOM2"	"Shroom family member 2"
"MKI67"	"Antigen identified by monoclonal antibody Ki-67"
"LOC728113"	"Similar to Annexin A8 (Annexin VIII) (Vascular anticoagulant-beta) (VAC-beta)"
"ANXA4"	"Annexin A4"
"ANK1"	"Ankyrin 1, erythrocytic"
"IGF2R"	"Insulin-like growth factor 2 receptor"
	"Transcribed locus, weakly similar to XP_512323.2 insulin receptor, partial [Pan troglodytes]"
"ID4"	"Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein"
"PSME1"	"Proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"
"IGJ"	"**Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides"
"HD"	"Huntingtin (Huntington disease)"
"ANP32B"	"Acidic (leucine-rich) nuclear phosphoprotein 32 family, member B"
"INPP5D"	"Inositol polyphosphate-5-phosphatase, 145kDa"
"ST6GALNAC2"	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
"SEPHS1"	"**Selenophosphate synthetase 1"
"PDE4D"	"Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)"
"RPL27A"	"Ribosomal protein L27a"
"PSME3"	"Proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)"
"KCNAB2"	"Potassium voltage-gated channel, shaker-related subfamily, beta member 2"
"SMARCB1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
"FOXM1"	"Forkhead box M1"
"CUL4A"	"Cullin 4A"
"NMI"	"N-myc (and STAT) interactor"
"FKBP5"	"FK506 binding protein 5"
"BAP1"	"BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)"
"PLA2R1"	"Phospholipase A2 receptor 1, 180kDa"
"LOC643446"	"**Similar to ribonucleic acid binding protein S1"
	"Clone HLS_IMAGE_767345 mRNA sequence"
"HSP90B1"	"Heat shock protein 90kDa beta (Grp94), member 1"
"VWF"	"Von Willebrand factor"
"SKI"	"**V-ski sarcoma viral oncogene homolog (avian)"
"RALB"	"V-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)"
"ARAF"	"V-raf murine sarcoma 3611 viral oncogene homolog"
"TFAM"	"Transcription factor A, mitochondrial"
"TPR"	"Translocated promoter region (to activated MET oncogene)"
"EPB41L1"	"Erythrocyte membrane protein band 4.1-like 1"
"PDZD2"	"PDZ domain containing 2"
"ZCCHC11"	"Zinc finger, CCHC domain containing 11"
"HIP2"	"Huntingtin interacting protein 2"
"HDAC3"	"Histone deacetylase 3"
"DSC2"	"Desmocollin 2"
"GAS2L1"	"Growth arrest-specific 2 like 1"
"SH2B1"	"SH2B adaptor protein 1"
"UBE2Q1"	"Ubiquitin-conjugating enzyme E2Q (putative) 1"
"DSCR1L2"	"Down syndrome critical region gene 1-like 2"
	"Transcribed locus"
"GOLGA2L1"	"Golgi autoantigen, golgin subfamily a, 2-like 1"
"EDEM2"	"ER degradation enhancer, mannosidase alpha-like 2"
"KLF3"	"Kruppel-like factor 3 (basic)"
"ZNF238"	"Zinc finger protein 238"
"NCOA2"	"Nuclear receptor coactivator 2"
"POM121"	"POM121 membrane glycoprotein (rat)"
"SCFD1"	"Sec1 family domain containing 1"
"RBAK"	"RB-associated KRAB zinc finger"
"MID1IP1"	"MID1 interacting protein 1 (gastrulation specific G12 homolog (zebrafish))"
"C14orf101"	"Chromosome 14 open reading frame 101"
"OCIAD1"	"OCIA domain containing 1"
	
	
	
"DKFZp762E1312"	"Hypothetical protein DKFZp762E1312"
"ADORA1"	"Adenosine A1 receptor"
"MRPS35"	"Mitochondrial ribosomal protein S35"
"FAM46A"	"Family with sequence similarity 46, member A"
"CNOT1"	"CCR4-NOT transcription complex, subunit 1"
"TMCO4"	"Transmembrane and coiled-coil domains 4"
"PPWD1"	"Peptidylprolyl isomerase domain and WD repeat containing 1"
"CGN"	"Cingulin"
	
"RBBP4"	"Retinoblastoma binding protein 4"
"ALDH8A1"	"Aldehyde dehydrogenase 8 family, member A1"
	
"CXYorf8"	"Chromosome X and Y open reading frame 8"
"RAB3GAP1"	"RAB3 GTPase activating protein subunit 1 (catalytic)"
"TMEM143"	"Transmembrane protein 143"
"CDCA7"	"Cell division cycle associated 7"
"RP11-50D16.3"	"Similar to RIKEN cDNA 8030451K01"
"RELL1"	"Receptor expressed in lymphoid tissues like 1"
	"CDNA clone IMAGE:5261213"
	
	"Transcribed locus"
"DVL2"	"Dishevelled, dsh homolog 2 (Drosophila)"
"RBM22"	"RNA binding motif protein 22"
"KIAA1166"	"KIAA1166"
"PAPOLG"	"Poly(A) polymerase gamma"
	"Transcribed locus"
"KIAA1546"	"KIAA1546"
"SASP"	"Skin aspartic protease"
	"Transcribed locus"
"FTCD"	"Formiminotransferase cyclodeaminase"
	
	
	
"CASP8AP2"	"CASP8 associated protein 2"
	"CDNA FLJ36837 fis, clone ASTRO2011422"
	"Transcribed locus"
	
	
	
"ITGB3BP"	"**Integrin beta 3 binding protein (beta3-endonexin)"
	
	"Transcribed locus"
	"Transcribed locus"
	
	
"YWHAH"	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"
"SEC14L1"	"SEC14-like 1 (S. cerevisiae)"
	
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
"ZMYND8"	"Zinc finger, MYND-type containing 8"
	"Transcribed locus"
"APOA1BP"	"Apolipoprotein A-I binding protein"
	"Transcribed locus"
"PRR5"	"Proline rich 5 (renal)"
	"**Transcribed locus, strongly similar to XP_001163717.1 adaptor-related protein complex 1, gamma 2 subunit isoform 5 [Pan troglodytes]"
"FIS1"	"Fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)"
"ZNRD1"	"Zinc ribbon domain containing 1"
"C16orf45"	"Chromosome 16 open reading frame 45"
"TNPO2"	"Transportin 2 (importin 3, karyopherin beta 2b)"
"G3BP2"	"GTPase activating protein (SH3 domain) binding protein 2"
"PRKD2"	"Protein kinase D2"
"BAT3"	"HLA-B associated transcript 3"
"NIN"	"Ninein (GSK3B interacting protein)"
"RAPGEF3"	"Rap guanine nucleotide exchange factor (GEF) 3"
	"*mitoch. cont. uncharacterized bone marrow protein BM029"
"BCL2L13"	"BCL2-like 13 (apoptosis facilitator)"
"AKT1S1"	"AKT1 substrate 1 (proline-rich)"
"MAN1C1"	"Mannosidase, alpha, class 1C, member 1"
"SLC39A13"	"Solute carrier family 39 (zinc transporter), member 13"
"YPEL3"	"Yippee-like 3 (Drosophila)"
"MAFK"	"V-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)"
"CCDC113"	"Coiled-coil domain containing 113"
"C4orf23"	"Chromosome 4 open reading frame 23"
	"Transcribed locus, strongly similar to XP_529691.1 hypothetical protein XP_529691 [Pan troglodytes]"
"PRKXP1"	"Protein kinase, X-linked, pseudogene 1"
	
	"Transcribed locus"
"MRPS2"	"Mitochondrial ribosomal protein S2"
"LRRIQ2"	"**Leucine-rich repeats and IQ motif containing 2"
"KIAA0737"	"KIAA0737"
	"CDNA clone MGC:43891 IMAGE:5274560"
"ZNF23"	"Zinc finger protein 23 (KOX 16)"
"FAM59B"	"Family with sequence similarity 59, member B"
"IQSEC3"	"IQ motif and Sec7 domain 3"
"FLJ10159"	"Hypothetical protein FLJ10159"
"C17orf51"	"Chromosome 17 open reading frame 51"
	"CDNA FLJ33569 fis, clone BRAMY2010317"
	"CDNA clone IMAGE:30346747"
"NHSL1"	"NHS-like 1"
"MORC2"	"MORC family CW-type zinc finger 2"
"RPS6KA3"	"Ribosomal protein S6 kinase, 90kDa, polypeptide 3"
"WDR36"	"WD repeat domain 36"
	
"GOLT1A"	"Golgi transport 1 homolog A (S. cerevisiae)"
"PPM1K"	"Protein phosphatase 1K (PP2C domain containing)"
"ARMC9"	"Armadillo repeat containing 9"
	
	"Beta1-adrenergic receptor mRNA, 3'untranslated region"
"C5orf13"	"Chromosome 5 open reading frame 13"
"LOC729231"	"Similar to Fos-related antigen 1 (FRA-1)"
"FOXG1B"	"**Forkhead box G1B"
"RAB4A"	"RAB4A, member RAS oncogene family"
"TFG"	"TRK-fused gene"
"EPHA5"	"EPH receptor A5"
"FOSL2"	"FOS-like antigen 2"
"RAB2A"	"RAB2A, member RAS oncogene family"
"SKI"	"**V-ski sarcoma viral oncogene homolog (avian)"
"PSEN2"	"Presenilin 2 (Alzheimer disease 4)"
"MYB"	"V-myb myeloblastosis viral oncogene homolog (avian)"
"BIRC3"	"Baculoviral IAP repeat-containing 3"
"BIRC2"	"Baculoviral IAP repeat-containing 2"
"XIST"	"X (inactive)-specific transcript"
	"**CDNA FLJ32335 fis, clone PROST2005604"
"NPAL2"	"NIPA-like domain containing 2"
"SLC16A9"	"**Solute carrier family 16, member 9 (monocarboxylic acid transporter 9)"
"TMEM30B"	"Transmembrane protein 30B"
"KRT73"	"Keratin 73"
"ASB12"	"Ankyrin repeat and SOCS box-containing 12"
"HEMGN"	"Hemogen"
	"**Transcribed locus, moderately similar to XP_001066541.1 similar to Glycine cleavage system H protein, mitochondrial precursor [Rattus norvegicus]"
"SPATA20"	"Spermatogenesis associated 20"
"C4orf30"	"Chromosome 4 open reading frame 30"
"PNRC2"	"Proline-rich nuclear receptor coactivator 2"
	"Transcribed locus"
	"CDNA FLJ25810 fis, clone TST07303"
"SBK1"	"SH3-binding domain kinase 1"
"CCDC8"	"Coiled-coil domain containing 8"
"LOC253264"	"Hypothetical protein LOC253264"
	"Homo sapiens, clone IMAGE:3858719, mRNA"
"DDX52"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 52"
"ARAF"	"V-raf murine sarcoma 3611 viral oncogene homolog"
"SLC25A22"	"Solute carrier family 25 (mitochondrial carrier: glutamate), member 22"
"C1orf148"	"Chromosome 1 open reading frame 148"
"C14orf45"	"Chromosome 14 open reading frame 45"
	"Full length insert cDNA clone ZD68B12"
"HEG1"	"HEG homolog 1 (zebrafish)"
	"Transcribed locus"
"LMBR1"	"Limb region 1 homolog (mouse)"
	"**Transcribed locus, strongly similar to XP_001161179.1 hypothetical protein [Pan troglodytes]"
"VGLL3"	"Vestigial like 3 (Drosophila)"
"SS18"	"Synovial sarcoma translocation, chromosome 18"
"SPCS3"	"**Signal peptidase complex subunit 3 homolog (S. cerevisiae)"
"APPL2"	"Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2"
"ATPAF1"	"ATP synthase mitochondrial F1 complex assembly factor 1"
"GLIS3"	"GLIS family zinc finger 3"
"PELI1"	"Pellino homolog 1 (Drosophila)"
"EIF2S2"	"Eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa"
"HLA-DRB1"	"Major histocompatibility complex, class II, DR beta 1"
"HLA-DOA"	"Major histocompatibility complex, class II, DO alpha"
"MSTP9"	"Macrophage stimulating, pseudogene 9"
"DNASE1L1"	"Deoxyribonuclease I-like 1"
"CD14"	"CD14 molecule"
"KIF23"	"Kinesin family member 23"
"INSM1"	"Insulinoma-associated 1"
"IGF2"	"Insulin-like growth factor 2 (somatomedin A)"
"ITPR3"	"Inositol 1,4,5-triphosphate receptor, type 3"
"CD79B"	"CD79b molecule, immunoglobulin-associated beta"
"TFF3"	"Trefoil factor 3 (intestinal)"
"IFIT2"	"Interferon-induced protein with tetratricopeptide repeats 2"
"PIAS1"	"Protein inhibitor of activated STAT, 1"
"ARL3"	"ADP-ribosylation factor-like 3"
"FUBP1"	"Far upstream element (FUSE) binding protein 1"
"UBE2D2"	"Ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)"
"NME3"	"Non-metastatic cells 3, protein expressed in"
"PRKDC"	"Protein kinase, DNA-activated, catalytic polypeptide"
"MAPK13"	"Mitogen-activated protein kinase 13"
"RGS13"	"Regulator of G-protein signalling 13"
"BUB1"	"BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)"
"TRDMT1"	"TRNA aspartic acid methyltransferase 1"
"PPEF1"	"Protein phosphatase, EF-hand calcium binding domain 1"
"PPP2R5B"	"Protein phosphatase 2, regulatory subunit B', beta isoform"
"FOSL1"	"FOS-like antigen 1"
"ERCC2"	"Excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)"
"EIF2S1"	"Eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa"
"EDN1"	"Endothelin 1"
"EGR2"	"Early growth response 2 (Krox-20 homolog, Drosophila)"
"EGR3"	"Early growth response 3"
"C4B"	"Complement component 4B (Childo blood group)"
"SERPING1"	"Serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)"
"CRMP1"	"Collapsin response mediator protein 1"
"COL4A1"	"Collagen, type IV, alpha 1"
"CSTF3"	"Cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa"
"CLTB"	"Clathrin, light chain (Lcb)"
"FBXL2"	"F-box and leucine-rich repeat protein 2"
"ARHGAP20"	"Rho GTPase activating protein 20"
	
"DAK"	"Dihydroxyacetone kinase 2 homolog (S. cerevisiae)"
"DKFZP779L1068"	"PRO0845"
"CCNJ"	"Cyclin J"
	
"FAM19A1"	"Family with sequence similarity 19 (chemokine (C-C motif)-like), member A1"
"RTDR1"	"Rhabdoid tumor deletion region gene 1"
	"CDNA FLJ45905 fis, clone OCBBF3026576"
	"Transcribed locus"
"CHST10"	"Carbohydrate sulfotransferase 10"
"EBF3"	"Early B-cell factor 3"
"TLE3"	"Transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)"
"CXCL1"	"Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"
"F8A1"	"Coagulation factor VIII-associated (intronic transcript) 1"
	"CDNA FLJ31668 fis, clone NT2RI2004916"
	"Transcribed locus, moderately similar to XP_001167551.1 component of oligomeric golgi complex 1 isoform 4 [Pan troglodytes]"
"SMG7"	"Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)"
"ILF3"	"Interleukin enhancer binding factor 3, 90kDa"
	"Transcribed locus"
"NSUN5B"	"NOL1/NOP2/Sun domain family, member 5B"
	"**Transcribed locus"
	
	"CDNA FLJ43061 fis, clone BRTHA3008143"
	"Transcribed locus, strongly similar to XP_001171782.1 hypothetical protein [Pan troglodytes]"
	
	
"GLT25D2"	"Glycosyltransferase 25 domain containing 2"
"JAKMIP2"	"Janus kinase and microtubule interacting protein 2"
"PIAS2"	"**Protein inhibitor of activated STAT, 2"
"KIAA0701"	"KIAA0701 protein"
"QSCN6L1"	"Quiescin Q6-like 1"
"ANAPC1"	"**Anaphase promoting complex subunit 1"
"PPFIA2"	"Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2"
	"MRNA full length insert cDNA clone EUROIMAGE 46506"
	"Transcribed locus"
"PISD"	"Phosphatidylserine decarboxylase"
"RUTBC1"	"RUN and TBC1 domain containing 1"
"CASK"	"Calcium/calmodulin-dependent serine protein kinase (MAGUK family)"
"H3F3A"	"H3 histone, family 3A"
"TMED2"	"Transmembrane emp24 domain trafficking protein 2"
"SDF2L1"	"Stromal cell-derived factor 2-like 1"
"LRRC8A"	"Leucine rich repeat containing 8 family, member A"
"ECHDC1"	"Enoyl Coenzyme A hydratase domain containing 1"
"DIRAS3"	"DIRAS family, GTP-binding RAS-like 3"
"SEMA3D"	"Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D"
"PLEKHK1"	"Pleckstrin homology domain containing, family K member 1"
"PMP2"	"Peripheral myelin protein 2"
	"Transcribed locus, moderately similar to NP_000250.1 VA (heavy polypeptide 12, myoxin) [Homo sapiens]"
"LRIG1"	"Leucine-rich repeats and immunoglobulin-like domains 1"
"RBM14"	"RNA binding motif protein 14"
"PCBP2"	"**Poly(rC) binding protein 2"
"RP11-291L22.2"	"Similar to cell division cycle 10"
"SMPX"	"Small muscle protein, X-linked"
"FARP1"	"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)"
"UCK1"	"Uridine-cytidine kinase 1"
"Gcom1"	"GRINL1A combined protein"
"BIRC6"	"Baculoviral IAP repeat-containing 6 (apollon)"
	
"XYLT1"	"Xylosyltransferase I"
	
"ARL10"	"ADP-ribosylation factor-like 10"
"TIPIN"	"TIMELESS interacting protein"
"PPHLN1"	"Periphilin 1"
	"Transcribed locus"
	"Transcribed locus"
"MLL2"	"Myeloid/lymphoid or mixed-lineage leukemia 2"
"CBFA2T2"	"Core-binding factor, runt domain, alpha subunit 2; translocated to, 2"
"KLF6"	"Kruppel-like factor 6"
"MRPL37"	"Mitochondrial ribosomal protein L37"
"COQ9"	"Coenzyme Q9 homolog (S. cerevisiae)"
"MTPN"	"Myotrophin"
"ZWILCH"	"Zwilch, kinetochore associated, homolog (Drosophila)"
"IGFBPL1"	"Insulin-like growth factor binding protein-like 1"
	"MRNA full length insert cDNA clone EUROIMAGE 1674211"
"VEZT"	"Vezatin, adherens junctions transmembrane protein"
	"Full length insert cDNA clone ZE05E03"
"COMMD2"	"**COMM domain containing 2"
"UGCG"	"**UDP-glucose ceramide glucosyltransferase"
"DAB2"	"Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)"
"ARSI"	"Arylsulfatase family, member I"
"PGM2L1"	"Phosphoglucomutase 2-like 1"
"SLC38A2"	"Solute carrier family 38, member 2"
"AGPS"	"Alkylglycerone phosphate synthase"
"LOC51152"	"Melanoma antigen"
	"Transcribed locus"
"SIKE"	"Suppressor of IKK epsilon"
	"Transcribed locus"
	"Transcribed locus, strongly similar to XP_001135922.1 hypothetical protein [Pan troglodytes]"
	"CDNA FLJ36082 fis, clone TESTI2019998"
"LOC400506"	"Similar to TSG118.1"
"RFXDC2"	"Regulatory factor X domain containing 2"
"GIT2"	"G protein-coupled receptor kinase interactor 2"
	"Transcribed locus"
"S100PBP"	"S100P binding protein"
	"**Transcribed locus"
"LOC401233"	"Similar to HIV TAT specific factor 1; cofactor required for Tat activation of HIV-1 transcription"
	"CDNA FLJ31075 fis, clone HSYRA2001484"
"MRPS28"	"Mitochondrial ribosomal protein S28"
	"CDNA clone IMAGE:5298846"
"ZCCHC10"	"Zinc finger, CCHC domain containing 10"
	"Transcribed locus"
"FLJ22531"	"Hypothetical protein FLJ22531"
"WDR67"	"WD repeat domain 67"
	"CDNA FLJ38345 fis, clone FCBBF3028671"
"SPAST"	"Spastin"
	"Transcribed locus"
	
"PIK3CA"	"Phosphoinositide-3-kinase, catalytic, alpha polypeptide"
	"Transcribed locus, moderately similar to XP_001073289.1 hypothetical protein [Rattus norvegicus]"
"NY-SAR-48"	"Sarcoma antigen NY-SAR-48"
"C1orf19"	"**Chromosome 1 open reading frame 19"
	
"ZNF182"	"Zinc finger protein 182"
"EIF4E3"	"Eukaryotic translation initiation factor 4E family member 3"
	
	
	"**Transcribed locus, strongly similar to XP_521318.1 similar to hypothetical protein MGC29729 [Pan troglodytes]"
	
	"CDNA clone IMAGE:5272066"
	"Transcribed locus"
	"CDNA FLJ45643 fis, clone CORDB2000127"
	"Transcribed locus"
"ALLC"	"Allantoicase"
	"Transcribed locus"
"LYRM5"	"LYR motif containing 5"
	
"FLJ40243"	"Hypothetical protein FLJ40243"
	"Transcribed locus, strongly similar to XP_001165945.1 hypothetical protein [Pan troglodytes]"
	"Transcribed locus"
"ZFPL1"	"Zinc finger protein-like 1"
"FLJ31951"	"Hypothetical protein FLJ31951"
	"CDNA clone IMAGE:4823383"
	"**CDNA FLJ14093 fis, clone MAMMA1000279"
"PPRC1"	"Peroxisome proliferator-activated receptor gamma, coactivator-related 1"
	"Transcribed locus"
"RFWD3"	"**Ring finger and WD repeat domain 3"
	"Transcribed locus"
"LOC148189"	"Hypothetical protein LOC148189"
"CADM1"	"**Cell adhesion molecule 1"
"ANKH"	"Ankylosis, progressive homolog (mouse)"
"CCT4"	"Chaperonin containing TCP1, subunit 4 (delta)"
	"Clone 23622 mRNA sequence"
	
	"MRNA full length insert cDNA clone EUROIMAGE 110216"
	"Clone FLB9440 PRO2550"
"SAP18"	"Sin3A-associated protein, 18kDa"
	
"CLEC1B"	"C-type lectin domain family 1, member B"
"C10orf10"	"Chromosome 10 open reading frame 10"
	
"PKLR"	"**Pyruvate kinase, liver and RBC"
"ATG16L1"	"ATG16 autophagy related 16-like 1 (S. cerevisiae)"
"NFAT5"	"**Nuclear factor of activated T-cells 5, tonicity-responsive"
	
	
	"**Transcribed locus"
"FLII"	"**Flightless I homolog (Drosophila)"
"LOC441052"	"Hypothetical gene supported by AF131741"
"CAMLG"	"**Calcium modulating ligand"
	"CDNA FLJ36506 fis, clone TRACH2001060"
"WWC2"	"WW and C2 domain containing 2"
	
	
	"Transcribed locus"
	"Transcribed locus"
"KIAA1456"	"KIAA1456 protein"
"HESX1"	"HESX homeobox 1"
	
	"Transcribed locus"
"SNAPC5"	"Small nuclear RNA activating complex, polypeptide 5, 19kDa"
	
	"Transcribed locus"
	"Transcribed locus"
"GTF2E2"	"**General transcription factor IIE, polypeptide 2, beta 34kDa"
"CA7"	"Carbonic anhydrase VII"
"ODZ2"	"Odz, odd Oz/ten-m homolog 2 (Drosophila)"
"FMO1"	"Flavin containing monooxygenase 1"
"VIM"	"**Vimentin"
"SOX4"	"SRY (sex determining region Y)-box 4"
"E2F1"	"E2F transcription factor 1"
"PTGS1"	"**Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)"
"OCA2"	"Oculocutaneous albinism II (pink-eye dilution homolog, mouse)"
"ATR"	"Ataxia telangiectasia and Rad3 related"
"KISS1"	"KiSS-1 metastasis-suppressor"
"CEP68"	"Centrosomal protein 68kDa"
"KIAA0574"	"KIAA0574 protein"
"AQR"	"Aquarius homolog (mouse)"
"FNBP1"	"Formin binding protein 1"
"ST18"	"Suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)"
"MGA"	"MAX gene associated"
"UNQ9217"	"AASA9217"
"SGTB"	"**Small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta"
"SLC38A1"	"Solute carrier family 38, member 1"
	"Transcribed locus"
	"Transcribed locus, strongly similar to XP_513612.2 Mid-1-related chloride channel 1 [Pan troglodytes]"
"C14orf130"	"Chromosome 14 open reading frame 130"
"FAM59A"	"Family with sequence similarity 59, member A"
"SDK1"	"Sidekick homolog 1 (chicken)"
	
"LOC134121"	"**Hypothetical protein LOC134121"
	"Transcribed locus"
"GPR83"	"G protein-coupled receptor 83"
"SLC40A1"	"**Solute carrier family 40 (iron-regulated transporter), member 1"
	"CDNA FLJ31059 fis, clone HSYRA2000832"
"INTS7"	"Integrator complex subunit 7"
	"Full-length cDNA clone CS0DB005YH06 of Neuroblastoma Cot 10-normalized of Homo sapiens (human)"
"SHC4"	"**SHC (Src homology 2 domain containing) family, member 4"
"KRBA1"	"KRAB-A domain containing 1"
"JPH4"	"Junctophilin 4"
"CPEB4"	"Cytoplasmic polyadenylation element binding protein 4"
"C20orf91"	"**Chromosome 20 open reading frame 91"
"THRAP2"	"Thyroid hormone receptor associated protein 2"
